latitude,longitude,country,province,city,street_address,postal_code
49.24238501,-123.1839912,Canada,British Colombia,Vancouver,"Dunbar Street, Vancouver, BC V6S 2H3, Canada",V6S 2H3
49.24281384,-123.1843731,Canada,British Colombia,Vancouver,"Dunbar Street, Vancouver, BC V6S 2H2, Canada",V6S 2H2
43.75428208,-79.5005333,Canada,Ontario,Toronto,"Candlewood Crescent, Toronto, ON M3J 1G8, Canada",M3J 1G8
42.27964782,-71.13605873,United States,Massachusetts,Boston,"Cedrus Avenue, Boston, MA 02131, United States",2131
42.28027891,-71.13586963,United States,Massachusetts,Boston,"Cedrus Avenue, Boston, MA 02131, United States",2131
45.5190157,-73.60851488,Canada,Quebec,Montreal,"Bernard Avenue, Montreal, Quebec H2V 1V8, Canada",H2V 1V8
49.24979713,-123.189133,Canada,British Colombia,Vancouver,"West 26th Avenue, Vancouver, BC V6S 1P1, Canada",V6S 1P1
43.74786336,-79.49366581,Canada,Ontario,Toronto,"Benjamin Boake Trail, Toronto, ON M3J 3b3, Canada",M3J 3b3
42.28657683,-71.13553645,United States,Massachusetts,Boston,"Durnell Avenue, Boston, MA 02131, United States",2131
42.28451221,-71.13625805,United States,Massachusetts,Boston,"Durnell Avenue, Boston, MA 02131, United States",2131
42.28885194,-71.13128217,United States,Massachusetts,Boston,"Fairview Street, Boston, MA 02131, United States",2131
45.5127796,-73.59734761,Canada,Quebec,Montreal,"Casgrain Avenue, Montreal, QC H2T 1W8, Canada",H2T 1W8
49.23330309,-123.1802113,Canada,British Colombia,Vancouver,"West 44th Avenue, Vancouver, BC V6N 3K8, Canada",V6N 3K8
43.75262315,-79.46547834,Canada,Ontario,Toronto,"De Boers Drive, Toronto, ON M3J 3E5, Canada",M3J 3E5
45.51654679,-73.59725771,Canada,Quebec,Montreal,"Avenue Édouard Charles, Montreal, Quebec H2V, Canada",H2V
45.52522002,-73.61205666,Canada,Quebec,Montreal,"Avenue Van Horne, Montreal, Quebec H2V 1J7, Canada",H2V 1J7
43.76597027,-79.50258554,Canada,Ontario,Toronto,"Sentinel Road, Toronto, ON M3J 3R9, Canada",M3J 3R9
43.76856227,-79.49800294,Canada,Ontario,Toronto,"Cook Road, Toronto, ON M3J 3T1, Canada",M3J 3T1
43.76804372,-79.50013465,Canada,Ontario,Toronto,"Cook Road, Toronto, ON M3J 3T1, Canada",M3J 3T1
43.76873812,-79.49713237,Canada,Ontario,Toronto,"Cook Road, Toronto, ON M3J 3T1, Canada",M3J 3T1
43.76942907,-79.50052178,Canada,Ontario,Toronto,"Cook Road, Toronto, ON M3J 3T1, Canada",M3J 3T1
43.76906851,-79.49913882,Canada,Ontario,Toronto,"Cook Road, Toronto, ON M3J 3T1, Canada",M3J 3T1
43.76855973,-79.5019191,Canada,Ontario,Toronto,"Cook Road, Toronto, ON M3J 3T1, Canada",M3J 3T1
45.52373347,-73.61228966,Canada,Quebec,Montreal,"Avenue Van Horne, Montreal, QC H2V 1J7, Canada",H2V 1J7
45.51645373,-73.62116095,Canada,Quebec,Montreal,"Avenue Hartland, Montreal, Quebec H2V 2X9, Canada",H2V 2X9
49.23119504,-123.1866429,Canada,British Colombia,Vancouver,"Dunbar Street, Vancouver, BC V6N 1X3, Canada",V6N 1X3
49.23282701,-123.1959561,Canada,British Colombia,Vancouver,"Salish Drive, Vancouver, BC V6N, Canada",V6N
43.76763153,-79.50238511,Canada,Ontario,Toronto,"Sentinel Rd, Toronto, ON M3J 0B2, Canada",M3J 0B2
43.76839733,-79.50080737,Canada,Ontario,Toronto,"Sentinel Rd, Toronto, ON M3J 0B2, Canada",M3J 0B2
43.76744507,-79.50242788,Canada,Ontario,Toronto,"Sentinel Road, Toronto, Ontario M3J 0B2, Canada",M3J 0B2
43.7655074,-79.49439663,Canada,Ontario,Toronto,"Four Winds Drive, Toronto, ON M3J 2S8, Canada",M3J 2S8
45.52000961,-73.61210796,Canada,Quebec,Montreal,"Avenue Joyce, Montreal, Quebec H2V 1S7, Canada",H2V 1S7
42.28280175,-71.11514509,United States,Massachusetts,Boston,"Brook St, Boston, MA 02131, United States",2131
49.25596275,-123.1807526,Canada,British Colombia,Vancouver,"West 20th Avenue, Vancouver, BC V6S 1E5, Canada",V6S 1E5
43.7666359,-79.49926449,Canada,Ontario,Toronto,"Bowsfield Rd, Toronto, ON M3J 3R3, Canada",M3J 3R3
45.52343814,-73.60910856,Canada,Quebec,Montreal,"Avenue de l'Épée, Montreal, QC H2V 3T9, Canada",H2V 3T9
43.76809635,-79.50348613,Canada,Ontario,Toronto,"Troyer Ave, Toronto, Ontario M3J 0A3, Canada",M3J 0A3
49.24597403,-123.1752845,Canada,British Colombia,Vancouver,"West 28th Avenue, Vancouver, BC V6L 1X5, Canada",V6L 1X5
45.52129504,-73.60832339,Canada,Quebec,Montreal,"Avenue Champagneur, Montreal, Quebec H2V 3P7, Canada",H2V 3P7
42.27493019,-71.13062801,United States,Massachusetts,Boston,"Beech Street, Boston, MA 02131, United States",2131
49.24256997,-123.1774628,Canada,British Colombia,Vancouver,"West 32nd Avenue, Vancouver, BC V6L 2C3, Canada",V6L 2C3
45.51536394,-73.61821264,Canada,Quebec,Montreal,"Antonine Maillet Avenue, Montreal, Quebec H2V 2Y6, Canada",H2V 2Y6
